Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4to7,Feature log2 fold change topic 4to7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10
ENSG00000215788,TNFRSF25,80,1.45923,68,1.14626,17,-1.0561,31,-0.2122,19,-0.8739,24,-0.5375,8,-2.1555
ENSG00000162408,NOL9,80,0.83512,42,-0.2023,30,-0.7272,56,0.39617,48,0.00120,25,-1.0111,31,-0.7015
ENSG00000162413,KLHL21,80,0.53766,167,1.87296,43,-0.4554,41,-0.7351,50,-0.2330,37,-0.7017,35,-0.7843
ENSG00000007923,DNAJC11,80,0.79586,33,-0.6480,47,-0.0693,51,0.09138,41,-0.2972,42,-0.2543,46,-0.1176
ENSG00000171735,CAMTA1,80,-1.1945,131,-0.4466,186,0.10684,202,0.38677,148,-0.2577,159,-0.1439,225,0.41900
ENSG00000049245,VAMP3,80,1.32045,83,1.37699,31,-0.2436,12,-2.0719,30,-0.3198,14,-1.4100,79,1.29561
ENSG00000049246,PER3,80,1.14532,78,1.10097,6,-2.8236,30,-0.6529,58,0.58045,33,-0.2940,29,-0.5293
ENSG00000116288,PARK7,80,-2.0417,479,0.73644,407,0.46225,307,0.00122,331,0.12216,351,0.22055,190,-0.7479
ENSG00000162426,SLC45A1,80,1.17994,28,-0.5386,35,-0.2018,41,0.07757,38,-0.0761,29,-0.4694,22,-0.8746
ENSG00000142599,RERE,80,-0.4279,112,0.10570,104,-0.0186,121,0.34967,95,-0.1636,90,-0.2392,87,-0.3056
ENSG00000074800,ENO1,80,-3.2777,1112,0.73741,586,-0.3071,853,0.46743,828,0.24411,654,-0.1357,442,-0.7444
ENSG00000171612,SLC25A33,80,1.37166,28,-0.3910,24,-0.6074,30,-0.3528,10,-1.9058,27,-0.4543,66,1.01921
ENSG00000171603,CLSTN1,80,-3.2601,721,0.04107,720,0.03907,1014,1.02992,600,-0.2511,412,-0.8345,442,-0.7261
ENSG00000178585,CTNNBIP1,80,0.60275,25,-1.2294,165,1.92332,39,-0.7644,30,-0.9223,19,-1.6031,78,0.56757
ENSG00000162441,LZIC,80,0.97429,76,0.87479,11,-2.1011,38,-0.3641,46,0.04640,26,-0.8281,55,0.33958
ENSG00000130939,UBE4B,80,0.62263,41,-0.4343,83,0.67669,55,0.02185,35,-0.6777,39,-0.5183,47,-0.2299
ENSG00000054523,KIF1B,80,-2.1879,285,-0.2731,452,0.47361,375,0.25782,372,0.15100,254,-0.4548,440,0.42703
ENSG00000142657,PGD,80,0.10541,62,-0.2943,122,0.80284,77,0.07438,63,-0.2677,42,-0.9057,71,-0.0840
ENSG00000241563,CORT,80,-1.8220,44,-2.7037,2191,5.43524,46,-3.1384,31,-3.2059,105,-1.4191,7,-5.3139
ENSG00000160049,DFFA,80,1.05415,56,0.43720,46,0.12032,29,-0.7989,29,-0.6063,30,-0.5244,67,0.74778
ENSG00000142655,PEX14,80,1.45208,22,-0.6811,37,0.13113,28,-0.4518,48,0.56670,21,-0.7360,21,-0.7481
ENSG00000120948,TARDBP,80,-0.4406,185,0.92177,117,0.15893,102,-0.0955,111,0.06885,89,-0.2754,71,-0.6204
ENSG00000116649,SRM,80,-0.3913,53,-1.0363,58,-0.8904,149,1.04618,78,-0.4326,102,-0.0140,61,-0.8117
ENSG00000171824,EXOSC10,80,1.39661,68,1.10348,28,-0.3491,26,-0.6920,14,-1.3676,36,0.04965,22,-0.6962
ENSG00000198793,MTOR,80,0.82501,29,-0.7972,38,-0.3688,52,0.15821,29,-0.7841,54,0.18138,47,-0.0468
ENSG00000116661,FBXO2,80,-1.1898,272,0.74606,178,0.04359,169,-0.0622,166,-0.0666,189,0.13633,172,-0.0115
ENSG00000132879,FBXO44,80,-0.7534,78,-0.7964,98,-0.4483,177,0.83259,97,-0.4579,137,0.08673,103,-0.3623
ENSG00000116670,MAD2L2,80,1.57781,25,-0.3988,5,-2.5575,25,-0.5063,28,-0.2009,44,0.51671,35,0.15287
ENSG00000011021,CLCN6,80,-0.1844,80,-0.1919,134,0.65431,91,0.01733,89,-0.0223,26,-1.9054,129,0.58825
ENSG00000116685,KIAA2013,80,0.91938,52,0.20218,46,-0.0095,43,-0.1441,22,-1.1446,22,-1.1458,65,0.57088
ENSG00000083444,PLOD1,80,1.15214,89,1.34366,8,-2.3186,36,-0.2648,12,-1.7632,24,-0.8172,45,0.18793
ENSG00000116688,MFN2,80,-0.6919,86,-0.5819,157,0.36825,151,0.49626,108,-0.2245,112,-0.1655,99,-0.3633
ENSG00000048707,VPS13D,80,0.22649,71,0.04238,89,0.38844,68,-0.0645,73,0.06637,49,-0.5479,63,-0.1479
ENSG00000162496,DHRS3,80,0.93459,182,2.56069,29,-0.7191,19,-1.7358,26,-0.8824,38,-0.2861,26,-0.8386
ENSG00000116731,PRDM2,80,0.64327,35,-0.6608,21,-1.4658,60,0.26116,53,-0.0390,55,0.03658,56,0.05941
ENSG00000189337,KAZN,1670,4.92303,46,-2.3445,80,-1.5287,58,-2.4634,17,-3.7900,61,-1.9232,56,-2.0555
ENSG00000142634,EFHD2,80,-0.6071,48,-1.3863,295,1.57538,151,0.64319,65,-0.9281,11,-3.4740,79,-0.6222
ENSG00000116138,DNAJC16,868,4.53794,57,-1.1415,15,-3.0703,39,-2.1350,34,-1.9228,33,-1.9570,36,-1.8364
ENSG00000116786,PLEKHM2,80,0.35431,61,-0.0912,75,0.23624,62,-0.0910,87,0.49645,57,-0.2043,36,-0.8775
ENSG00000065526,SPEN,80,0.83191,68,0.55274,16,-1.6503,33,-0.8278,61,0.37084,34,-0.5678,93,1.09802
ENSG00000055070,SZRD1,80,1.33397,71,1.12595,28,-0.3867,24,-0.8455,7,-2.3430,20,-0.8937,58,0.76930
ENSG00000291072,CROCCP2,80,1.19617,37,-0.0860,56,0.57960,34,-0.2989,27,-0.5525,30,-0.3988,23,-0.7914
ENSG00000058453,CROCC,80,1.02520,231,3.33882,15,-1.5983,20,-1.5233,6,-2.7799,8,-2.4438,11,-2.0154
ENSG00000159363,ATP13A2,80,-1.1484,59,-1.6172,272,0.79327,224,0.75994,149,-0.1932,93,-0.9223,137,-0.3223
ENSG00000117118,SDHB,80,-0.0328,88,0.12020,81,-0.0174,83,0.04800,73,-0.1755,97,0.26745,65,-0.3573
ENSG00000117115,PADI2,80,1.35830,61,0.88530,11,-1.7530,11,-2.2102,42,0.25025,15,-1.3579,106,1.89137
ENSG00000117154,IGSF21,80,-0.4952,18,-2.6935,98,-0.1821,179,1.47675,106,-0.0631,10,-3.5965,72,-0.6572
ENSG00000159423,ALDH4A1,80,1.45708,52,0.70690,4,-3.0093,14,-1.7769,97,1.83215,27,-0.3476,25,-0.5078
ENSG00000127463,EMC1,80,1.01857,35,-0.3585,59,0.49959,41,-0.1370,16,-1.5123,34,-0.3822,47,0.11290
ENSG00000053372,MRTO4,80,1.20649,22,-0.9018,95,1.52939,31,-0.4993,39,-0.0172,15,-1.4358,15,-1.4886
ENSG00000053371,AKR7A2,80,0.36146,184,1.84580,12,-2.4539,51,-0.5262,80,0.36436,40,-0.7439,42,-0.6526
ENSG00000077549,CAPZB,831,1.93057,235,-0.2698,222,-0.3634,252,-0.2414,182,-0.6673,121,-1.2844,192,-0.5844
ENSG00000173436,MICOS10,80,-1.5953,188,-0.3021,220,-0.0473,282,0.56181,288,0.38519,196,-0.2327,172,-0.4405
ENSG00000158747,NBL1,80,-1.3275,141,-0.4627,257,0.49267,238,0.59519,240,0.38006,100,-0.9889,126,-0.6371
ENSG00000162545,CAMK2N1,80,-3.3624,154,-2.4117,681,-0.1624,1150,1.22806,969,0.40841,658,-0.2174,401,-0.9843
ENSG00000090432,MUL1,80,1.36108,43,0.27692,54,0.67525,28,-0.5704,25,-0.5356,24,-0.6359,22,-0.7780
ENSG00000158828,PINK1,731,0.98197,165,-1.3936,395,-0.0458,468,0.35996,297,-0.4925,328,-0.3363,272,-0.6270
ENSG00000244038,DDOST,80,0.97409,78,0.93053,55,0.34339,39,-0.3087,19,-1.3225,34,-0.4056,23,-0.9982
ENSG00000189410,SH2D5,80,1.14406,14,-1.6431,36,-0.1986,34,-0.3623,24,-0.7906,104,1.62896,9,-2.2634
ENSG00000127483,HP1BP3,80,-1.2591,247,0.50558,231,0.39436,181,-0.0073,167,-0.1297,169,-0.1133,196,0.12146
ENSG00000075151,EIF4G3,80,-0.6734,110,-0.1806,150,0.31662,149,0.47898,91,-0.4754,79,-0.6928,128,0.06411
ENSG00000076864,RAP1GAP,80,-1.7356,68,-1.9743,177,-0.5421,352,0.96016,102,-1.3807,573,1.42436,85,-1.6573
ENSG00000090686,USP48,80,0.50517,60,0.04761,70,0.27821,48,-0.4570,36,-0.7430,85,0.61055,63,0.12142
ENSG00000070831,CDC42,80,-1.7463,255,0.02702,381,0.68715,310,0.54915,205,-0.3203,105,-1.3471,244,-0.0464
ENSG00000173372,C1QA,80,1.46299,139,2.61760,6,-2.4915,8,-2.6602,12,-1.5820,40,0.25181,31,-0.1215
ENSG00000173369,C1QB,80,0.72462,222,2.75199,24,-1.1620,6,-3.7620,33,-0.7083,76,0.63195,58,0.18418
ENSG00000004487,KDM1A,80,0.68649,56,0.10241,22,-1.3487,58,0.25885,51,-0.0396,48,-0.1329,35,-0.6380
ENSG00000169641,LUZP1,80,1.04034,22,-1.0482,67,0.71994,43,0.03048,31,-0.5221,35,-0.3272,21,-1.0767
ENSG00000125944,HNRNPR,80,-0.6271,145,0.31377,118,-0.0167,134,0.29138,87,-0.5001,98,-0.3098,130,0.12663
ENSG00000117318,ID3,80,0.54730,344,3.73916,2,-4.5021,9,-3.2405,18,-1.7424,40,-0.5603,51,-0.1687
ENSG00000142676,RPL11,572,0.31604,794,0.86903,349,-0.4724,317,-0.8508,406,-0.2350,710,0.67725,605,0.40975
ENSG00000057757,PITHD1,80,-1.4821,129,-0.7595,406,1.10223,261,0.55816,159,-0.4415,131,-0.7394,156,-0.4718
ENSG00000011009,LYPLA2,80,0.42113,98,0.76557,38,-0.7681,69,0.28504,34,-0.9141,73,0.26811,17,-1.9234
ENSG00000189266,PNRC2,80,0.14369,101,0.51485,47,-0.7012,77,0.13578,72,-0.0227,47,-0.6939,76,0.06377
ENSG00000188529,SRSF10,80,0.22952,114,0.81473,54,-0.3978,64,-0.2044,75,0.13107,57,-0.3027,60,-0.2426
ENSG00000001461,NIPAL3,80,0.02139,23,-1.8454,144,0.99143,68,-0.3341,18,-2.2200,51,-0.6807,201,1.61340
ENSG00000133226,SRRM1,80,0.67446,80,0.66734,28,-0.9747,50,-0.1334,40,-0.4228,38,-0.5335,64,0.29576
ENSG00000169504,CLIC4,80,0.56112,140,1.55021,23,-1.3652,14,-2.5262,22,-1.4414,41,-0.4949,203,2.31593
ENSG00000117614,SYF2,80,0.42766,132,1.28837,27,-1.2383,47,-0.5993,90,0.62589,52,-0.2723,46,-0.4471
ENSG00000117616,RSRP1,80,-0.2399,200,1.28991,62,-0.6450,85,-0.2160,83,-0.1760,88,-0.0847,79,-0.2585
ENSG00000183726,TMEM50A,80,0.15068,110,0.67612,12,-2.6582,68,-0.1586,73,0.01032,106,0.61398,75,0.03543
ENSG00000204178,MACO1,80,1.45991,25,-0.4819,40,0.26058,30,-0.2588,17,-1.0152,30,-0.2105,26,-0.4092
ENSG00000117643,MAN1C1,80,1.08569,80,1.07527,27,-0.6783,45,0.19187,20,-1.1119,22,-1.0143,8,-2.3582
ENSG00000162430,SELENON,80,0.92471,119,1.65355,21,-1.2095,31,-0.8118,45,-0.0158,35,-0.4002,31,-0.5832
ENSG00000117640,MTFR1L,80,-0.0941,136,0.77171,91,0.10343,85,-0.0023,66,-0.4073,56,-0.6503,82,-0.0551
ENSG00000117632,STMN1,80,-3.6885,460,-1.1156,1343,0.57897,1458,1.27832,689,-0.4964,123,-3.0708,909,-0.0589
ENSG00000158008,EXTL1,80,1.21893,11,-1.9269,9,-2.1236,54,0.93277,37,-0.0581,10,-2.0038,22,-0.8547
ENSG00000142684,ZNF593,80,1.33277,30,-0.3035,41,0.18684,34,-0.1273,23,-0.7231,27,-0.4869,26,-0.5413
ENSG00000142669,SH3BGRL3,80,-1.9674,396,0.49809,183,-0.7299,379,0.70175,286,-0.0289,175,-0.7931,278,-0.0777
ENSG00000158062,UBXN11,80,1.20264,152,2.49181,5,-2.9353,26,-0.8706,9,-2.1061,36,-0.1222,4,-3.1397
ENSG00000117682,DHDDS,80,1.61966,30,-0.0383,11,-1.6273,35,0.28179,13,-1.3317,17,-0.9630,21,-0.5784
ENSG00000198830,HMGN2,80,-1.2221,600,2.20128,155,-0.2081,124,-0.7711,167,-0.0956,126,-0.5330,145,-0.3109
ENSG00000117713,ARID1A,80,0.17257,115,0.77440,41,-0.8873,85,0.43716,36,-1.0770,55,-0.4292,51,-0.5253
ENSG00000204160,ZDHHC18,80,1.39673,12,-1.6607,32,-0.1710,40,0.30493,8,-2.2249,27,-0.3995,34,-0.0429
ENSG00000090273,NUDC,80,-0.9689,400,1.71262,113,-0.4358,137,-0.2121,136,-0.1571,106,-0.5400,114,-0.4228
ENSG00000253368,TRNP1,80,0.48624,7,-3.0574,140,1.46282,64,0.18766,32,-0.9334,24,-1.4019,54,-0.1544
ENSG00000090020,SLC9A1,80,1.48908,16,-1.0970,35,0.08767,39,0.38357,11,-1.6383,17,-1.0278,18,-0.9061
ENSG00000142784,WDTC1,80,0.95719,72,0.78225,21,-1.1715,42,-0.1772,42,-0.1228,30,-0.6046,37,-0.2861
ENSG00000186501,TMEM222,80,0.05072,82,0.09344,77,-0.0193,81,0.11683,78,0.00726,58,-0.4603,76,-0.0445
ENSG00000158195,WASF2,80,1.34577,114,2.03743,36,-0.0109,13,-1.9195,37,0.02798,11,-1.7219,30,-0.2949
ENSG00000126705,AHDC1,80,0.93414,61,0.45937,17,-1.4513,50,0.20774,35,-0.4102,22,-1.0879,42,-0.1422
ENSG00000117758,STX12,80,-0.5482,107,-0.0975,123,0.12944,136,0.46354,101,-0.1848,67,-0.8142,113,-0.0083
ENSG00000117751,PPP1R8,80,1.23944,49,0.38068,30,-0.4038,27,-0.7626,60,0.72380,27,-0.5475,31,-0.3432
ENSG00000117748,RPA2,80,0.55000,72,0.37316,24,-1.3518,62,0.20562,66,0.23765,57,0.00434,24,-1.3482
ENSG00000126698,DNAJC8,854,2.96239,160,-0.2189,78,-1.3263,122,-0.8761,66,-1.5628,72,-1.4487,118,-0.6879
ENSG00000130770,ATP5IF1,80,-2.2740,239,-0.6366,493,0.51810,488,0.84244,251,-0.5597,326,-0.1520,244,-0.6053
ENSG00000198492,YTHDF2,80,0.23846,46,-0.6179,45,-0.6683,89,0.65979,73,0.07839,54,-0.3824,38,-0.9399
ENSG00000116350,SRSF4,80,0.51394,93,0.75887,38,-0.6486,53,-0.2287,69,0.26695,49,-0.2911,44,-0.4582
ENSG00000116353,MECR,874,4.90346,13,-3.1747,17,-2.7974,38,-2.0858,26,-2.2066,26,-2.2242,23,-2.3832
ENSG00000162511,LAPTM5,80,1.34769,111,1.97787,18,-1.1016,11,-2.1881,26,-0.5039,27,-0.4630,55,0.67895
ENSG00000162512,SDC3,80,-1.1386,168,0.00338,165,-0.0248,180,0.17498,226,0.48825,135,-0.3400,181,0.12857
ENSG00000134644,PUM1,80,-1.1949,155,-0.1816,204,0.26127,223,0.65957,194,0.17925,88,-1.0625,125,-0.5229
ENSG00000121766,ZCCHC17,840,3.05389,31,-2.6031,82,-1.1682,128,-0.6856,124,-0.5330,68,-1.4536,90,-1.0272
ENSG00000121769,FABP3,80,-0.2260,9,-3.4081,170,1.01468,127,0.87576,54,-0.8236,40,-1.2742,61,-0.6450
ENSG00000162517,PEF1,80,0.12307,69,-0.1243,96,0.41910,81,0.22212,61,-0.3044,74,-0.0126,38,-1.0482
ENSG00000084636,COL16A1,80,0.37180,266,2.67526,1,-5.3984,43,-0.8250,52,-0.3306,20,-1.7469,44,-0.5637
ENSG00000121753,ADGRB2,80,-1.7450,122,-1.1138,125,-1.0853,390,1.30022,268,0.10439,247,-0.0245,107,-1.3176
ENSG00000184007,PTP4A2,80,-0.9667,127,-0.2519,161,0.11784,146,-0.0489,122,-0.3246,128,-0.2442,291,1.11631
ENSG00000121774,KHDRBS1,80,-0.8432,233,0.86843,120,-0.2164,137,-0.0100,169,0.33357,139,0.01378,88,-0.7065
ENSG00000025800,KPNA6,80,0.84562,38,-0.3691,48,0.01481,52,0.20380,38,-0.3544,19,-1.4355,48,-0.0052
ENSG00000084652,TXLNA,80,0.87119,98,1.23222,35,-0.4569,37,-0.5472,19,-1.4222,41,-0.2045,51,0.12649
ENSG00000084623,EIF3I,80,-0.5711,115,-0.0004,112,-0.0532,141,0.51357,102,-0.2012,95,-0.3052,87,-0.4450
ENSG00000175130,MARCKSL1,80,-1.0439,132,-0.2814,212,0.48963,115,-0.6791,177,0.18650,57,-1.5668,453,1.86256
ENSG00000160058,BSDC1,80,0.58551,51,-0.1345,11,-2.4828,66,0.42079,46,-0.3153,47,-0.2876,61,0.13444
ENSG00000176261,ZBTB8OS,80,1.36322,42,0.27093,42,0.26760,28,-0.5524,34,-0.0643,30,-0.2597,17,-1.1395
ENSG00000162521,RBBP4,80,-0.1761,168,1.05210,61,-0.6120,86,-0.0973,65,-0.5096,95,0.09016,84,-0.1096
ENSG00000134684,YARS1,80,-0.5463,65,-0.8610,133,0.24821,142,0.58461,56,-1.0941,141,0.35423,92,-0.3285
ENSG00000116497,S100PBP,80,1.40788,40,0.21302,33,-0.0970,25,-0.7489,32,-0.1483,43,0.32079,23,-0.6275
ENSG00000121905,HPCA,80,-1.7506,58,-2.2382,22,-3.6465,204,-0.4719,183,-0.5036,1329,3.32478,30,-3.1784
ENSG00000121900,TMEM54,80,1.19816,98,1.57112,57,0.60881,21,-1.2821,36,-0.1556,24,-0.7483,14,-1.5787
ENSG00000004455,AK2,80,1.52248,73,1.33776,6,-2.5342,16,-1.4589,30,-0.1603,27,-0.3058,50,0.68847
ENSG00000142920,AZIN2,80,1.35244,18,-1.0911,5,-2.9957,47,0.72048,18,-1.0281,20,-0.8676,30,-0.2929
ENSG00000134686,PHC2,80,0.36132,72,0.17690,54,-0.2694,65,0.03536,62,-0.0626,52,-0.3247,61,-0.0726
ENSG00000163866,SMIM12,80,0.26511,35,-1.0112,104,0.68890,80,0.42148,50,-0.4901,53,-0.3999,37,-0.9225
ENSG00000116544,DLGAP3,80,1.01885,8,-2.4715,43,3.73929,39,-0.2508,47,0.11580,81,1.03262,19,-1.2430
ENSG00000116560,SFPQ,816,2.27071,234,0.00412,223,-0.0763,154,-0.8898,136,-0.8428,159,-0.6004,150,-0.6963
ENSG00000146463,ZMYM4,80,0.71083,72,0.53010,62,0.29533,47,-0.2505,28,-0.9740,40,-0.3946,50,-0.0444
ENSG00000142687,KIAA0319L,80,0.36875,42,-0.6377,79,0.35353,71,0.25289,68,0.10437,46,-0.5266,40,-0.7359
ENSG00000020129,NCDN,80,-3.1328,203,-1.7661,490,-0.4328,788,0.52356,258,-1.4094,2016,2.03414,242,-1.5104
ENSG00000126067,PSMB2,80,-0.6893,136,0.13993,121,-0.0506,158,0.62880,85,-0.6014,81,-0.6658,110,-0.1982
ENSG00000142686,C1orf216,80,-0.1619,17,-2.4505,179,1.18041,106,0.44185,63,-0.5267,72,-0.3347,54,-0.7799
ENSG00000092847,AGO1,80,1.11399,43,0.07750,12,-1.8243,36,-0.2895,44,0.10898,41,0.00012,46,0.16569
ENSG00000126070,AGO3,80,1.49315,54,0.78638,34,0.03462,23,-0.7712,31,-0.1371,21,-0.7098,21,-0.7374
ENSG00000054116,TRAPPC3,80,0.48114,61,0.03131,34,-0.8878,67,0.30902,41,-0.5741,40,-0.6149,70,0.26369
ENSG00000116871,MAP7D1,80,-1.3222,117,-0.7448,176,-0.1112,237,0.59617,181,-0.0739,187,-0.0164,200,0.08761
ENSG00000054118,THRAP3,80,0.18703,177,1.56185,61,-0.2380,57,-0.5000,55,-0.3945,43,-0.8016,69,-0.0589
ENSG00000181817,LSM10,80,1.11059,19,-1.1495,25,-0.7847,44,0.14275,34,-0.3072,37,-0.1695,42,0.03082
ENSG00000116898,MRPS15,80,0.66211,59,0.14467,49,-0.1471,52,-0.0606,42,-0.3770,59,0.14998,38,-0.5317
ENSG00000163873,GRIK3,80,0.84292,23,-1.1075,158,2.12714,47,-0.0719,5,-3.2660,1,-4.7976,26,-0.9464
ENSG00000163875,MEAF6,825,2.47000,171,-0.3729,241,0.17437,142,-0.9058,152,-0.5556,90,-1.3551,117,-0.9557
ENSG00000163879,DNALI1,80,0.77388,369,4.61971,4,-3.6993,6,-3.5896,6,-3.0260,6,-3.0762,10,-2.3790
ENSG00000185090,MANEAL,80,1.01959,18,-1.3652,71,0.79874,50,0.38116,13,-1.8440,23,-0.9801,28,-0.6826
ENSG00000197982,C1orf122,80,-1.1493,130,-0.4158,177,0.07655,191,0.31010,158,-0.1081,128,-0.4351,251,0.65181
ENSG00000183431,SF3A3,80,0.83496,68,0.55245,59,0.31631,43,-0.2690,37,-0.4064,39,-0.3369,28,-0.8374
ENSG00000185668,POU3F1,80,1.25884,12,-1.7001,13,-1.5808,54,0.95651,9,-2.2070,38,-0.0150,13,-1.6373
ENSG00000116954,RRAGC,80,0.50751,45,-0.3981,65,0.16288,67,0.34895,28,-1.1162,52,-0.1864,46,-0.3873
ENSG00000174574,AKIRIN1,80,-0.3894,130,0.37924,58,-0.8808,123,0.46553,127,0.34826,62,-0.7933,77,-0.4515
ENSG00000168653,NDUFS5,80,-2.5908,256,-0.8599,469,0.08492,571,0.66246,574,0.41316,514,0.23174,271,-0.7730
ENSG00000127603,MACF1,80,-1.3658,304,0.73372,202,0.05988,156,-0.4959,303,0.72695,176,-0.1604,257,0.45486
ENSG00000090621,PABPC4,80,0.67284,68,0.38767,35,-0.6554,53,0.00975,31,-0.8396,50,-0.1069,55,0.04912
